#: table_doi: 10.17182/hepdata.43218.v1/t4
#: name: Table 4
#: description: Statistical correlation coefficients for the F2 measurements at Q**2 = 67.2 GeV**2.

#: data_file: Table4.yaml
#: keyword reactions: E+ E- --> E+ E- HADRONS | GAMMA* GAMMA --> HADRONS
#: keyword observables: CORR | F2
#: keyword phrases: Exclusive | Structure Function | Photoproduction | E+ E- Scattering | Electron production
#: keyword cmenergies: 0.0
#: RE,,,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GeV^2],,,,,67.2
#: SQRT(S) [GeV],,,,,0.0
X,X LOW,X HIGH,X,X LOW,X HIGH,
0.0211,0.006,0.0362,0.0211,0.006,0.0362,1.0
0.0656,0.0362,0.095,0.0211,0.006,0.0362,-
0.13805,0.095,0.1811,0.0211,0.006,0.0362,-
0.2359,0.1811,0.2907,0.0211,0.006,0.0362,-
0.35555000000000003,0.2907,0.4204,0.0211,0.006,0.0362,-
0.4959,0.4204,0.5714,0.0211,0.006,0.0362,-
0.6535,0.5714,0.7356,0.0211,0.006,0.0362,-
0.8478,0.7356,0.96,0.0211,0.006,0.0362,-
0.0211,0.006,0.0362,0.0656,0.0362,0.095,-0.48
0.0656,0.0362,0.095,0.0656,0.0362,0.095,1.0
0.13805,0.095,0.1811,0.0656,0.0362,0.095,-
0.2359,0.1811,0.2907,0.0656,0.0362,0.095,-
0.35555000000000003,0.2907,0.4204,0.0656,0.0362,0.095,-
0.4959,0.4204,0.5714,0.0656,0.0362,0.095,-
0.6535,0.5714,0.7356,0.0656,0.0362,0.095,-
0.8478,0.7356,0.96,0.0656,0.0362,0.095,-
0.0211,0.006,0.0362,0.13805,0.095,0.1811,0.01
0.0656,0.0362,0.095,0.13805,0.095,0.1811,-0.45
0.13805,0.095,0.1811,0.13805,0.095,0.1811,1.0
0.2359,0.1811,0.2907,0.13805,0.095,0.1811,-
0.35555000000000003,0.2907,0.4204,0.13805,0.095,0.1811,-
0.4959,0.4204,0.5714,0.13805,0.095,0.1811,-
0.6535,0.5714,0.7356,0.13805,0.095,0.1811,-
0.8478,0.7356,0.96,0.13805,0.095,0.1811,-
0.0211,0.006,0.0362,0.2359,0.1811,0.2907,0.2
0.0656,0.0362,0.095,0.2359,0.1811,0.2907,-0.26
0.13805,0.095,0.1811,0.2359,0.1811,0.2907,-0.23
0.2359,0.1811,0.2907,0.2359,0.1811,0.2907,1.0
0.35555000000000003,0.2907,0.4204,0.2359,0.1811,0.2907,-
0.4959,0.4204,0.5714,0.2359,0.1811,0.2907,-
0.6535,0.5714,0.7356,0.2359,0.1811,0.2907,-
0.8478,0.7356,0.96,0.2359,0.1811,0.2907,-
0.0211,0.006,0.0362,0.35555000000000003,0.2907,0.4204,-0.11
0.0656,0.0362,0.095,0.35555000000000003,0.2907,0.4204,0.32
0.13805,0.095,0.1811,0.35555000000000003,0.2907,0.4204,-0.52
0.2359,0.1811,0.2907,0.35555000000000003,0.2907,0.4204,-0.12
0.35555000000000003,0.2907,0.4204,0.35555000000000003,0.2907,0.4204,1.0
0.4959,0.4204,0.5714,0.35555000000000003,0.2907,0.4204,-
0.6535,0.5714,0.7356,0.35555000000000003,0.2907,0.4204,-
0.8478,0.7356,0.96,0.35555000000000003,0.2907,0.4204,-
0.0211,0.006,0.0362,0.4959,0.4204,0.5714,-0.02
0.0656,0.0362,0.095,0.4959,0.4204,0.5714,-0.04
0.13805,0.095,0.1811,0.4959,0.4204,0.5714,0.34
0.2359,0.1811,0.2907,0.4959,0.4204,0.5714,-0.71
0.35555000000000003,0.2907,0.4204,0.4959,0.4204,0.5714,0.04
0.4959,0.4204,0.5714,0.4959,0.4204,0.5714,1.0
0.6535,0.5714,0.7356,0.4959,0.4204,0.5714,-
0.8478,0.7356,0.96,0.4959,0.4204,0.5714,-
0.0211,0.006,0.0362,0.6535,0.5714,0.7356,0.04
0.0656,0.0362,0.095,0.6535,0.5714,0.7356,-0.07
0.13805,0.095,0.1811,0.6535,0.5714,0.7356,0.01
0.2359,0.1811,0.2907,0.6535,0.5714,0.7356,0.39
0.35555000000000003,0.2907,0.4204,0.6535,0.5714,0.7356,-0.71
0.4959,0.4204,0.5714,0.6535,0.5714,0.7356,-0.1
0.6535,0.5714,0.7356,0.6535,0.5714,0.7356,1.0
0.8478,0.7356,0.96,0.6535,0.5714,0.7356,-
0.0211,0.006,0.0362,0.8478,0.7356,0.96,-0.02
0.0656,0.0362,0.095,0.8478,0.7356,0.96,0.04
0.13805,0.095,0.1811,0.8478,0.7356,0.96,-0.05
0.2359,0.1811,0.2907,0.8478,0.7356,0.96,-0.11
0.35555000000000003,0.2907,0.4204,0.8478,0.7356,0.96,0.42
0.4959,0.4204,0.5714,0.8478,0.7356,0.96,-0.3
0.6535,0.5714,0.7356,0.8478,0.7356,0.96,-0.53
0.8478,0.7356,0.96,0.8478,0.7356,0.96,1.0

