#: table_doi: 10.17182/hepdata.43218.v1/t3
#: name: Table 3
#: description: Statistical correlation coefficients for the F2 measurements at Q**2 = 17.3 GeV**2.

#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> E+ E- HADRONS | GAMMA* GAMMA --> HADRONS
#: keyword observables: CORR | F2
#: keyword phrases: Exclusive | Structure Function | Photoproduction | E+ E- Scattering | Electron production
#: keyword cmenergies: 0.0
#: RE,,,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GeV^2],,,,,17.3
#: SQRT(S) [GeV],,,,,0.0
X,X LOW,X HIGH,X,X LOW,X HIGH,
0.0065,0.002,0.011,0.0065,0.002,0.011,1.0
0.022399999999999996,0.011,0.0338,0.0065,0.002,0.011,-
0.05625,0.0338,0.0787,0.0065,0.002,0.011,-
0.1137,0.0787,0.1487,0.0065,0.002,0.011,-
0.1958,0.1487,0.2429,0.0065,0.002,0.011,-
0.30265,0.2429,0.3624,0.0065,0.002,0.011,-
0.43489999999999995,0.3624,0.5074,0.0065,0.002,0.011,-
0.6036999999999999,0.5074,0.7,0.0065,0.002,0.011,-
0.0065,0.002,0.011,0.022399999999999996,0.011,0.0338,-0.51
0.022399999999999996,0.011,0.0338,0.022399999999999996,0.011,0.0338,1.0
0.05625,0.0338,0.0787,0.022399999999999996,0.011,0.0338,-
0.1137,0.0787,0.1487,0.022399999999999996,0.011,0.0338,-
0.1958,0.1487,0.2429,0.022399999999999996,0.011,0.0338,-
0.30265,0.2429,0.3624,0.022399999999999996,0.011,0.0338,-
0.43489999999999995,0.3624,0.5074,0.022399999999999996,0.011,0.0338,-
0.6036999999999999,0.5074,0.7,0.022399999999999996,0.011,0.0338,-
0.0065,0.002,0.011,0.05625,0.0338,0.0787,0.07
0.022399999999999996,0.011,0.0338,0.05625,0.0338,0.0787,-0.5
0.05625,0.0338,0.0787,0.05625,0.0338,0.0787,1.0
0.1137,0.0787,0.1487,0.05625,0.0338,0.0787,-
0.1958,0.1487,0.2429,0.05625,0.0338,0.0787,-
0.30265,0.2429,0.3624,0.05625,0.0338,0.0787,-
0.43489999999999995,0.3624,0.5074,0.05625,0.0338,0.0787,-
0.6036999999999999,0.5074,0.7,0.05625,0.0338,0.0787,-
0.0065,0.002,0.011,0.1137,0.0787,0.1487,0.12
0.022399999999999996,0.011,0.0338,0.1137,0.0787,0.1487,-0.09
0.05625,0.0338,0.0787,0.1137,0.0787,0.1487,-0.37
0.1137,0.0787,0.1487,0.1137,0.0787,0.1487,1.0
0.1958,0.1487,0.2429,0.1137,0.0787,0.1487,-
0.30265,0.2429,0.3624,0.1137,0.0787,0.1487,-
0.43489999999999995,0.3624,0.5074,0.1137,0.0787,0.1487,-
0.6036999999999999,0.5074,0.7,0.1137,0.0787,0.1487,-
0.0065,0.002,0.011,0.1958,0.1487,0.2429,-0.08
0.022399999999999996,0.011,0.0338,0.1958,0.1487,0.2429,0.27
0.05625,0.0338,0.0787,0.1958,0.1487,0.2429,-0.46
0.1137,0.0787,0.1487,0.1958,0.1487,0.2429,-0.02
0.1958,0.1487,0.2429,0.1958,0.1487,0.2429,1.0
0.30265,0.2429,0.3624,0.1958,0.1487,0.2429,-
0.43489999999999995,0.3624,0.5074,0.1958,0.1487,0.2429,-
0.6036999999999999,0.5074,0.7,0.1958,0.1487,0.2429,-
0.0065,0.002,0.011,0.30265,0.2429,0.3624,-0.03
0.022399999999999996,0.011,0.0338,0.30265,0.2429,0.3624,-0.03
0.05625,0.0338,0.0787,0.30265,0.2429,0.3624,0.27
0.1137,0.0787,0.1487,0.30265,0.2429,0.3624,-0.66
0.1958,0.1487,0.2429,0.30265,0.2429,0.3624,0.06
0.30265,0.2429,0.3624,0.30265,0.2429,0.3624,1.0
0.43489999999999995,0.3624,0.5074,0.30265,0.2429,0.3624,-
0.6036999999999999,0.5074,0.7,0.30265,0.2429,0.3624,-
0.0065,0.002,0.011,0.43489999999999995,0.3624,0.5074,0.03
0.022399999999999996,0.011,0.0338,0.43489999999999995,0.3624,0.5074,-0.08
0.05625,0.0338,0.0787,0.43489999999999995,0.3624,0.5074,0.16
0.1137,0.0787,0.1487,0.43489999999999995,0.3624,0.5074,0.01
0.1958,0.1487,0.2429,0.43489999999999995,0.3624,0.5074,-0.67
0.30265,0.2429,0.3624,0.43489999999999995,0.3624,0.5074,0.36
0.43489999999999995,0.3624,0.5074,0.43489999999999995,0.3624,0.5074,1.0
0.6036999999999999,0.5074,0.7,0.43489999999999995,0.3624,0.5074,-
0.0065,0.002,0.011,0.6036999999999999,0.5074,0.7,0.01
0.022399999999999996,0.011,0.0338,0.6036999999999999,0.5074,0.7,0.01
0.05625,0.0338,0.0787,0.6036999999999999,0.5074,0.7,-0.06
0.1137,0.0787,0.1487,0.6036999999999999,0.5074,0.7,0.16
0.1958,0.1487,0.2429,0.6036999999999999,0.5074,0.7,-0.01
0.30265,0.2429,0.3624,0.6036999999999999,0.5074,0.7,-0.5
0.43489999999999995,0.3624,0.5074,0.6036999999999999,0.5074,0.7,-0.02
0.6036999999999999,0.5074,0.7,0.6036999999999999,0.5074,0.7,1.0

